# query_id num_block_accesses num_unique_blocks latency_us
0 1477 497 215302
1 1707 529 230237
2 1923 583 248664
3 1570 452 205673
4 1535 451 204560
5 1881 552 262164
6 1549 458 215817
7 1633 545 233893
8 1581 505 240183
9 1788 525 256917
10 1786 530 249267
11 1593 519 234009
12 1531 495 222715
13 1675 519 241116
14 1710 527 258515
15 2018 570 293266
16 1646 489 231503
17 2186 521 287353
18 1663 581 253500
19 1517 484 224327
20 1492 552 227796
21 2156 601 295155
22 2132 521 288455
23 1611 517 234200
24 2039 551 285502
25 1548 486 231579
26 1571 515 231386
27 1595 534 250979
28 1610 489 223199
29 1947 585 297226
30 1650 545 242587
31 1569 524 230895
32 1688 463 224836
33 2203 589 318131
34 1922 546 268670
35 1567 482 219826
36 2243 610 320186
37 2111 605 312972
38 1512 502 229844
39 1798 571 276506
40 1582 519 232401
41 1609 513 233454
42 1968 557 291901
43 1783 542 264466
44 1963 591 301783
45 1842 509 248249
46 1628 492 226375
47 1477 558 245845
48 1497 483 231549
49 1833 499 271055
50 1679 557 268788
51 2352 630 344067
52 1482 480 224944
53 1978 557 279955
54 1514 461 210663
55 1690 582 269152
56 1571 458 219454
57 1647 480 238377
58 1549 567 254320
59 1763 573 279093
60 1787 431 243870
61 1512 497 233027
62 1553 510 243117
63 1578 514 248938
64 1916 614 305423
65 1528 480 237745
66 1510 568 263088
67 1635 450 228962
68 1727 478 244699
69 1620 479 220392
70 1559 475 225770
71 1764 575 283590
72 1515 516 254652
73 1614 458 227219
74 1555 507 239580
75 2050 528 307926
76 1660 546 270405
77 1976 590 319427
78 1617 458 238451
79 1822 535 278346
80 1757 523 271130
81 1753 507 250715
82 1620 465 237600
83 1978 596 344169
84 1537 532 258226
85 1667 615 303476
86 1551 537 259441
87 1624 492 264985
88 1888 536 291214
89 1928 477 282169
90 1796 513 277941
91 2057 594 335350
92 1657 488 255029
93 1722 571 293986
94 1739 500 261179
95 1842 547 282080
96 1501 436 190256
97 1684 481 251553
98 1584 519 245350
99 1777 548 281975
100 1692 528 277995
101 1652 525 262233
102 1544 558 252817
