# query_id num_block_accesses num_unique_blocks latency_us
0 1477 497 260666
1 1707 529 124319
2 1923 583 96277
3 1570 452 37195
4 1535 451 26652
5 1881 552 40315
6 1549 458 19094
7 1633 545 38524
8 1581 505 18857
9 1788 525 22327
10 1786 530 23160
11 1593 519 29124
12 1531 495 16307
13 1675 519 20274
14 1710 527 14038
15 2018 570 17314
16 1646 489 11601
17 2186 521 11324
18 1663 581 19905
19 1517 484 14609
20 1492 552 21573
21 2156 601 23391
22 2132 521 12400
23 1611 517 7264
24 2039 551 11544
25 1548 486 11124
26 1571 515 7527
27 1595 534 11661
28 1610 489 12043
29 1947 585 9873
30 1650 545 14999
31 1569 524 13491
32 1688 463 7192
33 2203 589 13060
34 1922 546 9962
35 1567 482 9918
36 2243 610 10526
37 2111 605 9914
38 1512 502 11583
39 1798 571 7837
40 1582 519 6940
41 1609 513 5907
42 1968 557 12170
43 1783 542 6274
44 1963 591 7956
45 1842 509 9476
46 1628 492 10332
47 1477 558 8242
48 1497 483 6216
49 1833 499 7701
50 1679 557 11335
51 2352 630 8290
52 1482 480 5649
53 1978 557 8675
54 1514 461 7075
55 1690 582 12892
56 1571 458 5584
57 1647 480 5976
58 1549 567 10035
59 1763 573 11575
60 1787 431 5952
61 1512 497 5674
62 1553 510 6433
63 1578 514 5982
64 1916 614 12325
65 1528 480 9634
66 1510 568 5832
67 1635 450 5727
68 1727 478 5849
69 1620 479 5655
70 1559 475 5858
71 1764 575 6549
72 1515 516 7184
73 1614 458 5675
74 1555 507 6542
75 2050 528 6628
76 1660 546 8662
77 1976 590 11128
78 1617 458 5775
79 1822 535 6951
80 1757 523 5937
81 1753 507 5817
82 1620 465 5527
83 1978 596 6785
84 1537 532 5344
85 1667 615 6462
86 1551 537 5593
87 1624 492 5502
88 1888 536 6239
89 1928 477 6390
90 1796 513 9253
91 2057 594 7016
92 1657 488 5758
93 1722 571 6049
94 1739 500 5602
95 1842 547 6254
96 1501 436 9467
97 1684 481 5824
98 1584 519 6380
99 1777 548 5989
100 1692 528 5837
101 1652 525 11744
102 1544 558 12393
103 1731 562 11472
104 1689 458 9943
105 1936 547 6189
106 1906 493 7035
107 1824 525 6280
108 1528 480 5179
109 1584 564 7701
110 1500 493 7162
111 1452 497 6445
112 1808 579 8801
113 2352 630 8036
114 1640 515 6315
115 1970 588 11334
116 1548 418 5242
117 1818 559 7699
118 1617 537 12250
119 1631 539 6304
120 1514 522 5748
121 1488 507 6069
122 1517 485 5066
123 1738 535 5894
124 1988 548 7432
125 2301 657 7821
126 1600 534 8580
127 1740 441 5565
128 1470 491 5632
129 1650 528 6492
130 1601 481 5322
131 1531 535 5194
132 1639 496 6126
133 1997 464 5939
134 1555 475 5195
135 1640 468 5406
136 1545 590 8804
137 1943 603 6558
138 1839 455 6350
139 1602 536 8030
140 1540 469 11522
141 1845 514 6190
142 1864 538 5990
143 1480 506 5861
144 1496 442 5155
145 1558 502 6336
146 1853 559 7389
147 2031 540 9458
148 1550 522 5924
149 2368 602 7705
150 1694 487 5475
151 2209 636 9931
152 2542 653 12790
153 1613 550 12329
